CHURN,GENDER,STATUS,CAROWNER,PAYMETHOD,LOCALBILLTYPE,LONGDISTANCEBILLTYPE,CHILDREN,ESTINCOME,AGE,DROPPED,RATEPLAN,LONGDISTANCE,INTERNATIONAL,LOCAL,USAGE,PHASE
F,F,M,N,Auto,FreeLocal,Intnl_discount,0,83287.0,56.0,4,4,29.0,0.0,90.0,119.0,Adult
T,M,S,Y,Auto,Budget,Standard,1,2056.06,19.0,0,4,24.0,6.0,27.0,58.0,Adult
T,M,S,N,CC,Budget,Standard,0,77000.0,63.0,0,3,4.0,7.0,8.0,20.0,Adult
F,F,M,N,Auto,Budget,Standard,0,83287.0,44.0,2,2,0.0,0.0,23.0,24.0,Adult
F,F,M,N,CC,Budget,Intnl_discount,0,14932.5,46.0,0,2,4.0,0.0,6.0,11.0,Adult
F,F,S,N,CC,Budget,Intnl_discount,0,27498.1,53.0,0,4,2.0,0.0,9.0,12.0,Adult
F,F,M,N,CH,Budget,Standard,2,50561.3,46.0,1,2,16.0,0.0,113.0,129.0,Adult
T,F,S,Y,CC,Budget,Intnl_discount,2,23464.0,61.0,0,3,22.0,0.0,41.0,64.0,Adult
F,F,M,Y,CH,FreeLocal,Intnl_discount,1,98680.4,46.0,0,4,17.0,0.0,8.0,26.0,Adult
T,M,M,Y,CC,Budget,Standard,0,65619.7,53.0,0,2,13.0,0.0,144.0,158.0,Adult
F,F,M,Y,CC,Budget,Standard,1,95620.3,47.0,0,4,10.0,0.0,93.0,104.0,Adult
F,F,M,Y,CC,FreeLocal,Intnl_discount,1,66921.4,46.0,0,1,15.0,0.0,8.0,24.0,Adult
F,F,M,Y,CC,FreeLocal,Intnl_discount,2,94026.8,28.0,0,2,25.0,0.0,10.0,35.0,Adult
T,M,M,N,CC,FreeLocal,Standard,0,66666.0,45.0,1,1,3.0,3.0,26.0,34.0,Adult
F,F,M,Y,CC,FreeLocal,Standard,2,18296.4,43.0,0,4,0.0,0.0,10.0,10.0,Adult
T,F,S,N,CC,FreeLocal,Standard,0,39461.0,22.0,1,1,22.0,0.0,103.0,126.0,Adult
F,F,S,N,Auto,Budget,Standard,2,86747.1,65.0,0,4,20.0,0.0,37.0,57.0,Adult
F,F,M,N,Auto,Budget,Standard,1,87404.6,63.0,0,2,21.0,0.0,139.0,160.0,Adult
F,F,M,Y,Auto,Budget,Intnl_discount,2,85394.0,20.0,1,2,19.0,2.0,14.0,35.0,Adult
F,F,M,Y,CH,Budget,Intnl_discount,2,63566.1,56.0,0,4,7.0,0.0,65.0,73.0,Adult
F,F,M,Y,CC,FreeLocal,Intnl_discount,2,82644.2,33.0,0,2,21.0,0.0,19.0,41.0,Adult
F,F,M,Y,CH,FreeLocal,Intnl_discount,2,809.43,32.0,0,4,0.0,0.0,2.0,2.0,Adult
T,M,S,N,CC,Budget,Standard,1,76529.8,58.0,0,4,18.0,5.0,20.0,43.0,Adult
F,F,M,N,Auto,Budget,Standard,0,66666.0,67.0,0,1,27.0,0.0,45.0,73.0,Adult
T,F,S,Y,CC,FreeLocal,Standard,2,19008.4,52.0,0,4,10.0,0.0,137.0,147.0,Adult
T,M,M,N,CH,Budget,Intnl_discount,0,78894.2,53.0,0,3,2.0,1.0,43.0,46.0,Adult
T,M,S,Y,CH,Budget,Intnl_discount,1,16432.1,21.0,0,4,20.0,8.0,80.0,109.0,Adult
T,M,S,Y,CC,Budget,Standard,1,71329.9,42.0,0,3,14.0,3.0,45.0,63.0,Adult
T,F,S,N,CC,FreeLocal,Standard,0,20913.6,53.0,0,1,22.0,7.0,65.0,95.0,Adult
T,F,S,N,CC,FreeLocal,Intnl_discount,0,5185.31,62.0,0,4,16.0,5.0,30.0,52.0,Adult
F,F,M,N,CC,FreeLocal,Standard,2,80087.7,42.0,0,3,8.0,0.0,22.0,31.0,Adult
T,F,S,Y,CC,FreeLocal,Standard,2,11251.1,52.0,0,4,28.0,0.0,113.0,141.0,Adult
T,M,M,N,CC,FreeLocal,Standard,1,70908.7,50.0,0,1,7.0,4.0,43.0,55.0,Adult
T,M,S,N,CC,FreeLocal,Standard,0,94928.3,40.0,0,1,14.0,5.0,73.0,93.0,Adult
T,M,M,Y,CH,Budget,Standard,0,65000.0,52.0,0,1,29.0,0.0,62.0,92.0,Adult
F,F,S,N,CC,Budget,Standard,2,93559.1,58.0,0,4,1.0,0.0,29.0,31.0,Adult
T,F,M,N,CC,FreeLocal,Standard,1,56722.8,61.0,0,4,17.0,6.0,51.0,74.0,Adult
T,M,M,N,CC,Budget,Intnl_discount,1,120000.0,53.0,0,1,0.0,0.0,3.0,3.0,Adult
T,F,S,Y,CC,Budget,Standard,2,3416.62,23.0,0,1,18.0,0.0,104.0,123.0,Adult
F,F,M,Y,Auto,Budget,Standard,0,78000.0,56.0,0,3,0.0,0.0,10.0,10.0,Adult
F,F,M,N,CC,FreeLocal,Standard,2,8032.16,46.0,0,3,29.0,0.0,59.0,88.0,Adult
F,F,D,Y,Auto,FreeLocal,Standard,1,93454.3,49.0,0,2,18.0,0.0,25.0,44.0,Adult
F,F,S,Y,Auto,FreeLocal,Standard,0,92564.1,49.0,0,3,23.0,0.0,51.0,74.0,Adult
F,F,M,Y,CC,FreeLocal,Standard,2,81913.8,50.0,0,3,6.0,0.0,46.0,53.0,Adult
T,F,S,N,CH,Budget,Standard,0,919.93,38.0,0,4,27.0,0.0,93.0,120.0,Adult
F,F,M,N,CC,Budget,Standard,2,69486.8,31.0,1,3,7.0,0.0,9.0,17.0,Adult
F,F,M,N,CH,Budget,Intnl_discount,2,24482.8,34.0,0,4,0.0,0.0,2.0,2.0,Adult
T,F,S,N,CC,FreeLocal,Intnl_discount,0,17138.2,64.0,0,2,20.0,0.0,84.0,104.0,Adult
F,F,M,N,CC,Budget,Intnl_discount,2,47010.1,57.0,0,2,2.0,0.0,164.0,167.0,Adult
F,F,S,N,Auto,FreeLocal,Intnl_discount,0,67239.4,44.0,0,1,12.0,0.0,53.0,66.0,Adult
F,M,M,Y,CC,FreeLocal,Standard,1,69406.7,38.0,1,2,6.0,7.0,128.0,142.0,Adult
F,F,M,N,CC,Budget,Standard,2,83259.3,51.0,0,1,0.0,0.0,4.0,4.0,Adult
T,F,M,N,CH,FreeLocal,Standard,1,34555.0,23.0,0,4,25.0,0.0,8.0,34.0,Adult
F,F,M,Y,CC,Budget,Standard,2,11234.7,49.0,0,2,0.0,0.0,112.0,113.0,Adult
F,F,M,N,CC,FreeLocal,Standard,2,68462.8,34.0,0,1,24.0,5.0,60.0,90.0,Adult
F,F,M,Y,Auto,FreeLocal,Standard,2,63670.8,46.0,0,3,27.0,0.0,51.0,78.0,Adult
F,F,S,Y,Auto,Budget,Standard,1,83287.0,47.0,0,3,20.0,0.0,100.0,120.0,Adult
F,M,M,N,Auto,FreeLocal,Standard,0,12387.6,56.0,0,2,2.0,0.0,65.0,93.0,Adult
F,F,M,N,Auto,FreeLocal,Standard,1,82931.3,65.0,0,1,19.0,0.0,118.0,137.0,Adult
F,F,M,N,CH,Budget,Standard,2,57483.9,44.0,0,3,17.0,0.0,27.0,44.0,Adult
T,F,S,N,Auto,FreeLocal,Standard,2,21274.0,46.0,0,4,10.0,0.0,32.0,43.0,Adult
F,F,M,N,CC,FreeLocal,Standard,2,28267.0,30.0,0,2,21.0,0.0,192.0,214.0,Adult
F,F,M,N,CH,Budget,Standard,2,36725.1,56.0,0,3,8.0,9.0,77.0,94.0,Adult
T,M,S,N,CC,Budget,Standard,1,94188.3,58.0,0,4,20.0,0.0,19.0,41.0,Adult
F,F,M,Y,CC,Budget,Standard,2,91861.0,42.0,0,2,15.0,0.0,6.0,22.0,Adult
T,F,S,Y,Auto,FreeLocal,Standard,1,12374.9,33.0,0,1,17.0,0.0,106.0,123.0,Adult
T,F,M,Y,CH,FreeLocal,Standard,2,69133.9,27.0,0,1,8.0,0.0,37.0,46.0,Adult
F,F,M,Y,CH,FreeLocal,Intnl_discount,2,84948.0,29.0,0,3,11.0,0.0,12.0,23.0,Adult
F,M,D,N,CC,FreeLocal,Intnl_discount,1,21416.5,36.0,0,2,9.0,9.0,8.0,27.0,Adult
T,M,M,Y,CH,FreeLocal,Standard,0,60101.1,64.0,2,2,27.0,6.0,124.0,157.0,Adult
F,F,M,N,Auto,Budget,Standard,2,38215.9,31.0,0,4,0.0,0.0,0.0,0.0,Adult
T,F,M,N,CC,FreeLocal,Standard,1,13829.4,20.0,0,1,29.0,0.0,160.0,176.0,Adult
F,F,M,N,CH,Budget,Intnl_discount,2,49745.3,48.0,0,2,2.0,0.0,24.0,27.0,Adult
F,F,M,Y,CC,FreeLocal,Intnl_discount,2,98003.7,26.0,0,3,1.0,0.0,83.0,84.0,Adult
T,M,S,N,CC,Budget,Intnl_discount,0,89142.7,54.0,0,4,3.0,8.0,5.0,16.0,Adult
F,F,S,N,Auto,FreeLocal,Intnl_discount,0,74530.8,63.0,0,3,20.0,0.0,106.0,127.0,Adult
T,F,S,N,CC,Budget,Standard,0,40120.0,22.0,0,3,30.0,0.0,262.0,265.0,Adult
T,M,M,N,CC,Budget,Standard,1,66931.9,64.0,0,3,11.0,0.0,5.0,17.0,Adult
T,F,M,N,Auto,FreeLocal,Intnl_discount,1,40120.0,22.0,0,4,26.0,0.0,26.0,48.0,Adult
T,F,S,N,CC,Budget,Intnl_discount,0,40120.0,24.0,0,3,27.0,0.0,154.0,168.0,Adult
T,F,S,N,CC,Budget,Standard,0,40120.0,24.0,0,2,26.0,0.0,61.0,65.0,Adult
T,F,S,N,CC,FreeLocal,Standard,2,40120.0,22.0,0,2,37.0,2.0,38.0,62.0,Adult
T,F,S,N,CC,Budget,Standard,1,40120.0,21.0,0,1,28.0,0.0,106.0,134.0,Adult
F,F,M,Y,CC,Budget,Standard,2,64816.6,31.0,0,4,21.0,0.0,6.0,27.0,Adult
F,F,M,N,CC,FreeLocal,Standard,2,98217.1,45.0,0,4,29.0,0.0,13.0,42.0,Adult
F,F,M,Y,CC,FreeLocal,Standard,2,41876.6,44.0,0,4,6.0,0.0,132.0,139.0,Adult
T,M,M,Y,CC,FreeLocal,Standard,0,96223.4,65.0,0,3,11.0,0.0,5.0,18.0,Adult
T,F,S,N,CC,Budget,Intnl_discount,0,15989.3,62.0,1,3,3.0,0.0,25.0,29.0,Adult
T,M,M,Y,CC,Budget,Standard,0,69168.4,62.0,0,3,14.0,6.0,214.0,234.0,Adult
F,M,M,Y,CC,Budget,Intnl_discount,1,92148.5,38.0,0,2,2.0,0.0,100.0,113.0,Adult
F,M,M,Y,CC,Budget,Standard,0,96681.0,20.0,0,2,2.0,7.0,40.0,73.0,Adult
F,M,S,Y,CC,FreeLocal,Intnl_discount,0,62705.9,39.0,0,2,2.0,0.0,6.0,33.0,Adult
F,M,S,N,Auto,FreeLocal,Standard,0,80221.2,29.0,0,2,2.0,0.0,49.0,50.0,Adult
F,M,S,N,CC,FreeLocal,Standard,0,84479.2,28.0,0,2,2.0,0.0,43.0,56.0,Adult
F,F,M,N,CC,FreeLocal,Standard,2,64977.4,38.0,0,3,28.0,0.0,17.0,45.0,Adult
T,F,M,N,CH,FreeLocal,Standard,0,77994.0,51.0,0,1,12.0,0.0,89.0,102.0,Adult
F,M,M,N,CC,Budget,Intnl_discount,2,90103.7,35.0,0,4,12.0,8.0,45.0,66.0,Adult
T,F,M,Y,CC,Budget,Standard,0,59008.4,30.0,0,1,12.0,0.0,18.0,31.0,Adult
F,M,M,N,Auto,Budget,Intnl_discount,2,5265.35,53.0,0,3,2.0,5.0,23.0,31.0,Adult
F,F,M,N,CC,Budget,Intnl_discount,2,36647.9,50.0,0,4,21.0,0.0,85.0,107.0,Adult
T,F,S,N,CH,Budget,Intnl_discount,0,64319.2,41.0,0,1,3.0,0.0,37.0,40.0,Adult
F,F,S,N,Auto,Budget,Intnl_discount,1,73338.0,48.0,0,2,20.0,0.0,9.0,29.0,Adult
T,F,S,N,CC,FreeLocal,Standard,0,433.74,61.0,0,2,3.0,0.0,40.0,44.0,Adult
F,F,M,N,CC,Budget,Standard,2,16962.2,45.0,0,2,18.0,0.0,8.0,27.0,Adult
T,F,M,N,CC,Budget,Standard,0,2031.61,20.0,0,1,21.0,0.0,87.0,109.0,Adult
F,F,M,N,Auto,FreeLocal,Standard,1,8073.11,46.0,0,4,28.0,0.0,60.0,89.0,Adult
F,M,M,Y,CH,Budget,Standard,0,95448.6,54.0,0,4,24.0,0.0,5.0,29.0,Adult
F,M,S,N,CC,Budget,Standard,1,31952.0,34.0,2,2,0.0,0.0,4.0,4.0,Adult
F,M,S,N,CC,Budget,Intnl_discount,2,72084.7,56.0,0,2,29.0,0.0,9.0,38.0,Adult
F,F,S,N,CC,Budget,Standard,0,42760.5,47.0,0,4,13.0,0.0,40.0,53.0,Adult
T,M,M,N,CH,Budget,Standard,1,71472.9,42.0,0,1,16.0,0.0,114.0,130.0,Adult
F,F,M,N,CC,Budget,Standard,0,95405.7,48.0,0,3,7.0,0.0,6.0,13.0,Adult
F,F,S,Y,CC,Budget,Standard,0,95786.8,53.0,0,1,21.0,0.0,87.0,108.0,Adult
T,M,S,N,CC,FreeLocal,Intnl_discount,0,90321.6,55.0,0,3,0.0,0.0,11.0,12.0,Adult
F,F,M,N,CH,Budget,Standard,2,56187.0,43.0,0,3,8.0,0.0,13.0,21.0,Adult
F,M,M,N,CH,FreeLocal,Standard,2,29616.0,49.0,0,4,29.0,0.0,45.0,75.0,Adult
F,M,M,N,CC,FreeLocal,Standard,0,19732.8,51.0,0,1,24.0,0.0,22.0,47.0,Adult
F,F,M,N,CH,Budget,Intnl_discount,2,52004.8,25.0,0,2,5.0,0.0,23.0,28.0,Adult
F,M,M,N,CC,FreeLocal,Standard,2,53010.8,19.0,4,4,12.0,0.0,46.0,58.0,Adult
F,M,M,N,CC,Budget,Intnl_discount,0,75004.5,65.0,0,1,26.0,0.0,32.0,58.0,Adult
F,M,M,N,CC,Budget,Standard,0,19749.3,60.0,0,2,20.0,0.0,13.0,34.0,Adult
F,M,S,Y,CC,Budget,Standard,1,57626.9,44.0,0,1,9.0,0.0,38.0,48.0,Adult
F,M,M,N,CC,Budget,Intnl_discount,2,20078.0,33.0,0,1,9.0,0.0,6.0,15.0,Adult
F,F,M,N,Auto,FreeLocal,Standard,2,47902.0,26.0,1,3,17.0,4.0,49.0,72.0,Adult
F,F,S,N,CC,FreeLocal,Standard,0,78851.3,48.0,0,3,0.0,0.0,28.0,29.0,Adult
T,F,M,Y,CH,Budget,Standard,0,83891.9,61.0,0,4,28.0,0.0,45.0,74.0,Adult
F,F,M,N,CC,Budget,Standard,2,5237.63,49.0,0,3,13.0,8.0,56.0,78.0,Adult
T,M,S,N,CC,FreeLocal,Standard,2,89459.9,53.0,0,2,11.0,1.0,22.0,36.0,Adult
T,F,S,N,CC,Budget,Standard,1,13576.5,39.0,0,4,14.0,0.0,25.0,40.0,Adult
F,F,S,N,CC,FreeLocal,Standard,0,81710.9,59.0,1,4,20.0,0.0,15.0,36.0,Adult
T,F,S,N,CC,FreeLocal,Standard,1,7737.94,43.0,0,4,11.0,0.0,50.0,61.0,Adult
T,M,S,N,CH,Budget,Standard,2,120000.0,42.0,0,2,21.0,0.0,293.0,314.0,Adult
F,F,M,Y,CC,Budget,Standard,2,45287.6,29.0,0,2,0.0,0.0,2.0,2.0,Adult
T,F,M,N,CC,Budget,Intnl_discount,2,59613.1,34.0,0,4,12.0,0.0,163.0,175.0,Adult
T,F,S,N,CC,FreeLocal,Standard,2,9559.78,51.0,0,2,18.0,0.0,59.0,77.0,Adult
F,F,M,N,CH,Budget,Intnl_discount,2,42031.8,51.0,0,4,20.0,0.0,39.0,59.0,Adult
F,M,M,N,CC,Budget,Intnl_discount,1,39229.1,26.0,0,4,28.0,4.0,13.0,47.0,Adult
F,F,D,N,Auto,FreeLocal,Standard,1,68427.4,42.0,0,1,23.0,0.0,50.0,73.0,Adult
T,M,S,N,Auto,Budget,Intnl_discount,0,3601.71,49.0,0,4,9.0,4.0,111.0,125.0,Adult
T,F,S,N,CC,FreeLocal,Standard,0,98716.3,56.0,0,4,20.0,8.0,13.0,43.0,Adult
F,F,S,Y,Auto,Budget,Standard,2,66182.7,62.0,0,4,11.0,0.0,47.0,58.0,Adult
F,F,M,Y,CC,Budget,Intnl_discount,0,32703.1,65.0,0,4,16.0,0.0,56.0,72.0,Adult
F,F,S,N,Auto,FreeLocal,Intnl_discount,2,38280.0,34.0,0,2,11.0,0.0,74.0,86.0,Adult
T,M,S,Y,CC,FreeLocal,Intnl_discount,0,64136.6,61.0,0,1,16.0,1.0,125.0,142.0,Adult
T,F,M,Y,CH,FreeLocal,Standard,2,45429.7,62.0,0,2,24.0,0.0,73.0,97.0,Adult
T,F,S,N,Auto,Budget,Standard,1,13109.1,63.0,0,1,22.0,0.0,40.0,62.0,Adult
F,M,S,Y,CC,Budget,Standard,2,21021.6,63.0,0,2,2.0,0.0,11.0,14.0,Adult
F,F,M,Y,Auto,FreeLocal,Standard,2,62061.8,46.0,0,1,29.0,0.0,52.0,82.0,Adult
T,F,M,Y,CC,Budget,Standard,1,20550.9,22.0,0,1,27.0,0.0,57.0,85.0,Adult
F,M,M,N,CC,FreeLocal,Standard,2,1765.41,19.0,0,4,3.0,0.0,44.0,47.0,Adult
T,F,S,N,Auto,Budget,Intnl_discount,2,2842.55,46.0,0,4,0.0,0.0,0.0,0.0,Adult
F,M,M,N,CC,Budget,Standard,2,22358.1,53.0,0,3,15.0,1.0,12.0,29.0,Adult
F,M,M,Y,CC,FreeLocal,Standard,0,47870.8,27.0,0,2,2.0,1.0,12.0,13.0,Adult
F,F,S,Y,CH,Budget,Standard,2,6440.46,43.0,0,2,22.0,0.0,27.0,49.0,Adult
T,M,S,Y,Auto,FreeLocal,Intnl_discount,0,65000.0,52.0,1,1,11.0,9.0,115.0,137.0,Adult
F,M,M,Y,CC,Budget,Standard,2,1406.05,19.0,0,1,11.0,0.0,15.0,26.0,Adult
F,F,S,N,Auto,Budget,Standard,0,73228.3,46.0,0,3,22.0,0.0,28.0,50.0,Adult
F,F,S,N,Auto,FreeLocal,Standard,2,76231.9,64.0,0,3,2.0,0.0,150.0,152.0,Adult
T,F,S,Y,CH,Budget,Intnl_discount,0,93322.1,40.0,0,1,29.0,0.0,8.0,38.0,Adult
T,M,M,N,CC,Budget,Intnl_discount,1,63437.3,64.0,0,4,0.0,3.0,10.0,14.0,Adult
F,M,M,Y,CC,Budget,Standard,2,49910.7,52.0,0,4,27.0,0.0,23.0,51.0,Adult
T,M,M,Y,CC,FreeLocal,Standard,1,76161.4,45.0,0,3,11.0,0.0,25.0,37.0,Adult
T,F,S,N,Auto,Budget,Standard,1,12686.0,65.0,0,4,23.0,0.0,80.0,103.0,Adult
F,M,M,Y,CC,FreeLocal,Standard,2,57360.8,53.0,0,1,10.0,0.0,57.0,67.0,Adult
T,M,M,Y,CC,FreeLocal,Standard,0,92414.7,46.0,0,1,29.0,0.0,10.0,40.0,Adult
F,F,M,N,CC,Budget,Standard,2,17888.7,53.0,0,2,29.0,0.0,332.0,361.0,Adult
T,F,S,N,CC,FreeLocal,Intnl_discount,1,12526.3,54.0,0,3,11.0,0.0,28.0,40.0,Adult
T,F,S,Y,Auto,Budget,Standard,2,14578.8,61.0,0,1,11.0,0.0,95.0,107.0,Adult
T,M,M,Y,CC,FreeLocal,Standard,0,78572.2,42.0,1,1,21.0,0.0,29.0,51.0,Adult
F,F,M,N,CC,FreeLocal,Standard,2,48238.8,35.0,0,1,23.0,0.0,168.0,191.0,Adult
F,F,S,N,CC,Budget,Intnl_discount,2,76791.2,43.0,0,3,20.0,0.0,23.0,43.0,Adult
F,F,M,N,CH,Budget,Standard,2,3193.6,54.0,1,3,4.0,0.0,114.0,118.0,Adult
T,M,D,Y,Auto,Budget,Standard,0,2056.06,19.0,0,3,24.0,6.0,27.0,58.0,Adult
F,F,M,N,CC,FreeLocal,Standard,2,7776.6,36.0,0,1,25.0,0.0,68.0,94.0,Adult
T,M,S,N,CC,Budget,Standard,0,78000.0,46.0,0,4,4.0,7.0,8.0,20.0,Adult
F,F,M,N,CC,FreeLocal,Standard,2,69343.3,42.0,0,1,6.0,0.0,15.0,21.0,Adult
F,F,M,N,Auto,Budget,Standard,0,83287.0,42.0,2,3,0.0,0.0,23.0,24.0,Adult
F,F,M,N,CC,Budget,Intnl_discount,0,14932.5,70.0,0,3,4.0,0.0,6.0,11.0,Adult
F,F,S,N,CC,Budget,Intnl_discount,0,27498.1,70.0,0,2,2.0,0.0,9.0,12.0,Adult
F,F,M,N,CC,FreeLocal,Standard,2,21419.9,60.0,0,4,26.0,0.0,103.0,129.0,Adult
F,F,M,Y,Auto,FreeLocal,Standard,2,30665.2,23.0,0,3,5.0,8.0,63.0,77.0,Adult
F,F,M,Y,Auto,FreeLocal,Intnl_discount,1,68000.0,44.0,0,1,6.0,0.0,30.0,37.0,Adult
T,F,S,Y,CC,Budget,Intnl_discount,2,23464.0,55.0,0,3,22.0,0.0,41.0,64.0,Adult
F,F,M,N,CC,FreeLocal,Standard,2,194.57,41.0,0,4,28.0,0.0,38.0,67.0,Adult
F,F,M,Y,CH,FreeLocal,Intnl_discount,1,98680.4,62.0,0,1,17.0,0.0,8.0,26.0,Adult
F,F,M,Y,CC,Budget,Standard,1,95620.3,41.0,0,3,10.0,0.0,93.0,104.0,Adult
F,F,D,N,Auto,FreeLocal,Intnl_discount,1,85275.0,70.0,0,3,22.0,0.0,151.0,174.0,Adult
F,F,M,Y,Auto,FreeLocal,Standard,1,98453.6,55.0,0,2,13.0,0.0,11.0,25.0,Adult
F,F,M,Y,CC,FreeLocal,Intnl_discount,2,94026.8,28.0,0,3,25.0,0.0,10.0,35.0,Adult
F,M,M,N,CC,Budget,Intnl_discount,2,47639.1,61.0,0,4,17.0,0.0,39.0,57.0,Adult
F,M,M,N,CC,Budget,Intnl_discount,0,3911.9,59.0,0,1,5.0,8.0,25.0,39.0,Adult
F,F,M,Y,CC,FreeLocal,Standard,2,18296.4,43.0,0,1,0.0,0.0,10.0,10.0,Adult
T,F,S,N,CC,FreeLocal,Standard,0,39461.0,22.0,1,2,22.0,0.0,103.0,126.0,Adult
F,F,M,N,CC,FreeLocal,Standard,1,71502.5,57.0,0,2,0.0,0.0,0.0,0.0,Adult
F,F,S,N,Auto,FreeLocal,Standard,1,66000.0,52.0,0,4,22.0,0.0,63.0,86.0,Adult
F,F,M,N,CC,FreeLocal,Standard,1,95011.5,52.0,0,2,0.0,0.0,2.0,2.0,Adult
F,M,M,Y,CC,Budget,Intnl_discount,1,47371.0,55.0,0,2,4.0,7.0,258.0,270.0,Adult
F,F,M,Y,CH,FreeLocal,Standard,2,52957.0,40.0,2,4,25.0,0.0,125.0,151.0,Adult
F,F,M,N,Auto,Budget,Standard,1,87404.6,63.0,0,4,21.0,0.0,139.0,160.0,Adult
T,F,S,N,CC,FreeLocal,Standard,0,2121.36,40.0,1,1,2.0,0.0,36.0,38.0,Adult
F,F,M,Y,CH,Budget,Intnl_discount,2,63566.1,56.0,0,3,7.0,0.0,65.0,73.0,Adult
F,F,M,N,CC,FreeLocal,Standard,0,52089.6,48.0,0,2,10.0,0.0,13.0,23.0,Adult
F,F,M,Y,CC,FreeLocal,Intnl_discount,2,82644.2,33.0,0,2,21.0,0.0,19.0,41.0,Adult
F,F,M,N,CC,Budget,Intnl_discount,1,38738.3,60.0,0,1,11.0,0.0,48.0,59.0,Adult
F,F,M,N,Auto,Budget,Intnl_discount,2,60485.5,42.0,0,4,11.0,0.0,28.0,40.0,Adult
T,F,M,N,CC,FreeLocal,Standard,1,56722.8,61.0,0,4,17.0,6.0,51.0,74.0,Adult
F,F,M,Y,CH,FreeLocal,Intnl_discount,2,809.43,32.0,0,1,0.0,0.0,2.0,2.0,Adult
T,M,S,N,CC,Budget,Standard,1,76529.8,58.0,0,2,18.0,5.0,20.0,43.0,Adult
F,F,M,N,CH,Budget,Standard,2,34577.7,63.0,3,2,29.0,0.0,116.0,145.0,Adult
T,M,M,Y,CH,Budget,Standard,0,23000.0,61.0,0,4,28.0,0.0,45.0,74.0,Adult
F,F,M,N,Auto,Budget,Standard,0,77000.0,55.0,0,1,27.0,0.0,45.0,73.0,Adult
F,F,M,N,Auto,FreeLocal,Standard,0,98056.3,56.0,0,3,23.0,0.0,126.0,150.0,Adult
T,M,M,Y,CH,Budget,Standard,0,73400.0,53.0,0,1,0.0,0.0,2.0,2.0,Adult
F,F,M,Y,CH,FreeLocal,Standard,0,53432.2,57.0,0,1,12.0,0.0,83.0,96.0,Adult
T,M,M,N,CH,Budget,Intnl_discount,0,78894.2,53.0,0,3,2.0,1.0,43.0,46.0,Adult
T,M,S,Y,CH,Budget,Intnl_discount,1,16432.1,21.0,0,3,20.0,8.0,80.0,109.0,Adult
T,M,M,N,CH,Budget,Intnl_discount,0,62797.9,54.0,0,3,8.0,4.0,55.0,68.0,Adult
T,M,S,Y,CC,Budget,Standard,1,71329.9,42.0,0,1,14.0,3.0,45.0,63.0,Adult
F,F,S,N,CC,Budget,Standard,0,91498.9,52.0,0,2,21.0,0.0,25.0,46.0,Adult
T,M,S,N,Auto,Budget,Intnl_discount,0,3601.71,49.0,0,4,9.0,4.0,111.0,125.0,Adult
F,F,S,Y,CH,Budget,Standard,1,33084.3,50.0,0,1,19.0,0.0,105.0,125.0,Adult
T,F,S,N,CC,FreeLocal,Standard,0,20913.6,53.0,0,1,22.0,7.0,65.0,95.0,Adult
F,F,S,Y,CC,FreeLocal,Standard,1,49553.9,48.0,0,1,29.0,0.0,48.0,78.0,Adult
T,F,S,Y,Auto,Budget,Intnl_discount,1,540.4,39.0,0,4,12.0,0.0,7.0,20.0,Adult
F,F,M,N,CC,FreeLocal,Standard,1,88759.5,60.0,1,2,29.0,0.0,114.0,143.0,Adult
T,M,S,Y,CC,FreeLocal,Intnl_discount,0,2805.01,25.0,0,1,19.0,6.0,11.0,38.0,Adult
T,F,S,N,CC,FreeLocal,Intnl_discount,0,5185.31,62.0,0,3,16.0,5.0,30.0,52.0,Adult
T,F,S,N,CH,Budget,Intnl_discount,0,38000.0,22.0,0,2,22.0,8.0,75.0,106.0,Adult
F,F,M,N,CC,FreeLocal,Standard,2,80087.7,42.0,0,4,8.0,0.0,22.0,31.0,Adult
T,F,S,Y,CC,FreeLocal,Standard,2,11251.1,43.0,0,2,28.0,0.0,113.0,141.0,Adult
T,M,M,N,CC,FreeLocal,Standard,0,70908.7,50.0,0,1,7.0,4.0,43.0,55.0,Adult
T,M,S,N,CC,FreeLocal,Standard,0,94928.3,40.0,0,1,14.0,5.0,73.0,93.0,Adult
F,F,M,N,Auto,FreeLocal,Standard,2,50622.3,40.0,0,3,20.0,2.0,90.0,112.0,Adult
T,M,M,Y,CH,FreeLocal,Intnl_discount,0,78000.0,50.0,0,2,16.0,4.0,18.0,39.0,Adult
T,F,M,N,CC,FreeLocal,Standard,1,56722.8,61.0,0,4,17.0,6.0,51.0,74.0,Adult
F,M,M,N,CC,Budget,Intnl_discount,1,80000.0,39.0,0,2,0.0,0.0,3.0,3.0,Adult
F,F,M,N,CC,FreeLocal,Standard,2,8032.16,46.0,0,1,29.0,0.0,59.0,88.0,Adult
F,F,S,Y,Auto,FreeLocal,Standard,0,93454.3,49.0,0,1,18.0,0.0,25.0,44.0,Adult
F,F,S,N,Auto,Budget,Standard,0,83287.0,60.0,0,1,0.0,7.0,208.0,215.0,Adult
F,F,S,Y,Auto,FreeLocal,Standard,0,92564.1,49.0,0,1,23.0,0.0,51.0,74.0,Adult
T,M,S,Y,CH,Budget,Intnl_discount,0,70000.0,48.0,0,3,4.0,3.0,82.0,90.0,Adult
